digit,total,float_correct,float_accuracy,int8_correct,int8_accuracy,int8_minus_float_accuracy_points
0,85,83,0.9764705882352941,83,0.9764705882352941,0.0
1,101,98,0.9702970297029703,98,0.9702970297029703,0.0
2,98,91,0.9285714285714286,90,0.9183673469387755,-1.0204081632653061
3,100,96,0.96,96,0.96,0.0
4,108,106,0.9814814814814815,106,0.9814814814814815,0.0
5,90,81,0.9,81,0.9,0.0
6,97,89,0.9175257731958762,88,0.9072164948453608,-1.0309278350515463
7,116,113,0.9741379310344828,114,0.9827586206896551,0.8620689655172413
8,114,108,0.9473684210526315,108,0.9473684210526315,0.0
9,91,79,0.8681318681318682,77,0.8461538461538461,-2.197802197802198
